Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/S11/current/S1127/,SDN:S11::S1127,juvenile,"",An animal that has not yet reached sexual maturity,2,false,2010-02-09 10:43:26.0
http://vocab.nerc.ac.uk/collection/S11/current/S1117/,SDN:S11::S1117,auxospores,"",An enlarged cell in diatoms which restores cell size following a series of divisions.,2,false,2006-03-29 08:23:50.0
http://vocab.nerc.ac.uk/collection/S11/current/S120/,SDN:S11::S120,sub-adult,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1116/,SDN:S11::S1116,adult,"",An animal that has reached sexual maturity,3,false,2010-02-09 10:44:21.0
http://vocab.nerc.ac.uk/collection/S11/current/S1110/,SDN:S11::S1110,copepodites C4,C4,The fourth sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:23:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1124/,SDN:S11::S1124,heterococcolithophorid,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S115/,SDN:S11::S115,copepodites,C1-C5 C1-5 C1+C2+C3+C4+C5,All sub-stages of the second development stage of copepoda crustaceans following the nauplii stage (N1 to N6) and before reaching the adult stage (sometimes also labelled C6 or CVI).,3,false,2017-07-30 14:14:38.0
http://vocab.nerc.ac.uk/collection/S11/current/S1148/,SDN:S11::S1148,sub-adult+adult,"",Sub-adults and adults have either been grouped together or cannot be reliably distinguished.,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1150/,SDN:S11::S1150,juvenile+sub-adult,"",Juveniles and sub-adults have either been grouped together or cannot be reliably distinguished.,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1134/,SDN:S11::S1134,resting spores,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S113/,SDN:S11::S113,copepodites C1-C3,C1-3 C1+C2+C3,Grouping of the first 3 sub-stages of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:12:17.0
http://vocab.nerc.ac.uk/collection/S11/current/S1130/,SDN:S11::S1130,nauplii,N1-6 N1-N6,All sub-stages of the first development stage of crustaceans after hatching.,3,false,2017-07-30 14:40:58.0
http://vocab.nerc.ac.uk/collection/S11/current/S1114/,SDN:S11::S1114,copepodites C5 plus adults,C5-adult C5-C6 C5-6,Grouping of the fifth and last sub-stages of the copepodite development stage of the crustacean copepoda sub-class plus the adult form (sometimes also labelled C6 or CVI).,3,false,2017-07-30 14:29:15.0
http://vocab.nerc.ac.uk/collection/S11/current/S114/,SDN:S11::S114,copepodites C1-C4,C1-4 C1+C2+C3+C4,"Grouping of the first, second, third and fourth sub-stages of the copepodite development stage of the crustacean copepoda sub-class.",3,false,2017-07-30 14:13:04.0
http://vocab.nerc.ac.uk/collection/S11/current/S1123/,SDN:S11::S1123,furcilia,"",Fourth free-swimming planktonic larval stage of euphausiaceans with stalked eyes and the general body form of the adult.,2,false,2010-06-21 16:54:45.0
http://vocab.nerc.ac.uk/collection/S11/current/S118/,SDN:S11::S118,copepodites C3,C3,The third sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:23:25.0
http://vocab.nerc.ac.uk/collection/S11/current/S1138/,SDN:S11::S1138,zooids,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1162/,SDN:S11::S1162,pluteus larvae,"","Free-swimming, bilaterally symmetrical, ciliated developmental stage of some echinoderms, such as sea urchins and brittlestars",1,false,2010-12-04 15:33:51.0
http://vocab.nerc.ac.uk/collection/S11/current/S1136/,SDN:S11::S1136,vegetative cell,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1118/,SDN:S11::S1118,calyptopis,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1128/,SDN:S11::S1128,larvae,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1137/,SDN:S11::S1137,zoeae,"","Free-swimming planktonic larval form of decapod crustaceans (especially crabs) with a relatively large cephalothorax, conspicuous eyes, and fringed antennae and mouthparts.",2,false,2010-06-21 16:10:22.0
http://vocab.nerc.ac.uk/collection/S11/current/S117/,SDN:S11::S117,copepodites C2,C2,The second sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:23:16.0
http://vocab.nerc.ac.uk/collection/S11/current/S116/,SDN:S11::S116,copepodites plus adults,C1-adult C1-C6 C1-6,All sub-stages of the second (copepodite) development stage of copepoda crustaceans combined with the adult stage (sometimes also labelled C6 or CVI).,4,false,2017-07-30 14:21:51.0
http://vocab.nerc.ac.uk/collection/S11/current/S1125/,SDN:S11::S1125,holococcolithophorid,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1122/,SDN:S11::S1122,eggs,"","Spherical or ellipsoidal bodies produced by the female of certain animals (e.g. fishes, birds, reptiles).",3,false,2017-06-19 16:48:17.0
http://vocab.nerc.ac.uk/collection/S11/current/S1133/,SDN:S11::S1133,postlarvae,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1145/,SDN:S11::S1145,juvenile+adult,"",Juveniles and adults have either been grouped together or cannot be reliably distinguished.,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1111/,SDN:S11::S1111,copepodites C4-C5,C4-5,Grouping of the fourth and fifth sub-stages of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:25:14.0
http://vocab.nerc.ac.uk/collection/S11/current/S1153/,SDN:S11::S1153,post-auxospore,"",Cell in diatoms which has restored its size by a series of divisions or is in the process of dividing following the enlarged auxospore stage.,1,false,2006-03-29 08:28:00.0
http://vocab.nerc.ac.uk/collection/S11/current/S1159/,SDN:S11::S1159,post-weaned pup,"",A juvenile pinniped that is less than one year old and is nutritionally independent and no longer ingesting milk produced by an adult female..,1,false,2010-03-05 09:59:09.0
http://vocab.nerc.ac.uk/collection/S11/current/S1135/,SDN:S11::S1135,spores,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1146/,SDN:S11::S1146,nauplii N6,N6,The sixth and last sub-stage of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:32:47.0
http://vocab.nerc.ac.uk/collection/S11/current/S1120/,SDN:S11::S1120,cypris,cyprids,The final larval stage of crustacean cirripedes or barnacles (infraclass Cirripedia) following the naupliar phase and prior to the sessile adult phase.,2,false,2017-01-24 17:04:51.0
http://vocab.nerc.ac.uk/collection/S11/current/S1112/,SDN:S11::S1112,copepodites C5,C5,The fifth and last sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:24:01.0
http://vocab.nerc.ac.uk/collection/S11/current/S1163/,SDN:S11::S1163,copepodites C4-C5 plus adults,C4-adult C4-C6 C4-6,Grouping of the last 2 sub-stages of the copepodite development stage of the crustacean copepoda sub-class plus the adult stage.,3,false,2017-07-30 14:28:16.0
http://vocab.nerc.ac.uk/collection/S11/current/S111/,SDN:S11::S111,copepodites C1,C1,The first sub-stage of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:07:43.0
http://vocab.nerc.ac.uk/collection/S11/current/S1121/,SDN:S11::S1121,cysts,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1161/,SDN:S11::S1161,mysis,"",Free-swimming planktonic larval forms of decapod crustaceans (especially shrimps) with three recognised development sub-stages. First sub-stage produced from protozoeae by moulting.,1,false,2010-06-21 16:34:03.0
http://vocab.nerc.ac.uk/collection/S11/current/S1158/,SDN:S11::S1158,pre-weaned pup,"",A juvenile pinniped that is less than one year old and is ingesting milk produced by an adult female.,2,false,2010-03-05 09:59:46.0
http://vocab.nerc.ac.uk/collection/S11/current/S119/,SDN:S11::S119,copepodites C3-C4,C3-4,Grouping of the third and fourth sub-stages of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:24:54.0
http://vocab.nerc.ac.uk/collection/S11/current/S1142/,SDN:S11::S1142,nauplii N3,N3,The third sub-stage of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:32:16.0
http://vocab.nerc.ac.uk/collection/S11/current/S1141/,SDN:S11::S1141,nauplii N2,N2,The second sub-stage of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:32:08.0
http://vocab.nerc.ac.uk/collection/S11/current/S1171/,SDN:S11::S1171,immature,"","This term may have subtle variations in its definition depending on the type of organism it relates to. In a general sense, it applies to organisms that are at the last stage of their juvenile development prior to a fully mature adult stage, ie when an organism looks like an adult but its reproductive organs 
have not yet reached maturity.",1,false,2018-05-03 18:41:10.0
http://vocab.nerc.ac.uk/collection/S11/current/S1132/,SDN:S11::S1132,planula,"","The free-swimming, flattened, ciliated, bilaterally symmetrical larva of a hydrozoan cnidarian",2,false,2006-03-29 09:50:19.0
http://vocab.nerc.ac.uk/collection/S11/current/S1154/,SDN:S11::S1154,nauplii N1-N3,N1-3 N1+N2+N3,Grouping of the first 3 sub-stages of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:33:46.0
http://vocab.nerc.ac.uk/collection/S11/current/S1129/,SDN:S11::S1129,medusae,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1144/,SDN:S11::S1144,nauplii N5,N5,The fifth sub-stage of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:32:38.0
http://vocab.nerc.ac.uk/collection/S11/current/S1168/,SDN:S11::S1168,aulophora larvae,"",Organisms from the planktonic larval stage of the burrowing polychaete from the genus Lanice.,1,false,2017-06-17 11:52:54.0
http://vocab.nerc.ac.uk/collection/S11/current/S1173/,SDN:S11::S1173,smolt,"",A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea.,1,false,2019-07-16 18:46:08.0
http://vocab.nerc.ac.uk/collection/S11/current/S1143/,SDN:S11::S1143,nauplii N4,N4,The fourth sub-stage of the nauplius larval development stage of crustaceans.,3,false,2017-07-30 14:32:24.0
