Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,SDN:Q01::Q0100011,Lower filter pore size,"",The pore size of the filter used to collect particulate material from a sample (typically a water sample). Only the material collected on the filter is used in the analysis.,2,false,2016-05-24 12:20:02.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,SDN:Q01::Q0100013,Sampling device aperture width,"",The smaller dimension of the sampling area of a device with a rectangular aperture (e.g. a grab or a trawl); the type of device is specified elsewhere.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100009/,SDN:Q01::Q0100009,Biological sample size range,"",The size class of the biological entities used for the observation. Specimens with sizes outside this range would not be included in the dataset.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100005/,SDN:Q01::Q0100005,Sample extraction method,"",The name or description of the method used to extract the biological material from its surrounding matrix.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100003/,SDN:Q01::Q0100003,Sampling method,"",The name or description of the method used to collect the sample or make the in-situ measurement or observation.,2,false,2016-05-24 12:20:04.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100008/,SDN:Q01::Q0100008,Upper sieve mesh size,"",The mesh size of the sieve used to sort biological material from a sample (typically a sediment sample). The material that remains in the sieve is discarded.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,SDN:Q01::Q0100017,Sampling device aperture surface area,"",The 2-dimensional size of the opening of a sampling device (e.g. a grab or a trawl); the type of device is specified elsewhere,1,false,2016-08-15 17:16:45.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,SDN:Q01::Q0100015,Sampling net mesh size,"",The mesh size of the sampling net used to obtain the sample. The type of net is specified elsewhere.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100010/,SDN:Q01::Q0100010,Upper filter pore size,"",The pore size of the filter used to exclude particulate material from a sample (typically a water sample). Only the material and liquid passing through the filter are used in the analysis.,2,false,2016-05-24 12:20:06.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100007/,SDN:Q01::Q0100007,Lower sieve mesh size,"",The mesh size of the sieve used to sort biological material from a sample (typically a sediment sample). Only the material that remains in the sieve is used in the analyses.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,SDN:Q01::Q0100002,Sampling instrument name,"",The name of the gear or instrument used to collect the sample or make the in-situ measurement or observation.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,SDN:Q01::Q0100004,Sample preservation method,"",The name or description of the method used to preserve the sample after collection and prior to the analysis.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100006/,SDN:Q01::Q0100006,Subsampling protocol,"",The name or description of the method used to divide the sample into subsamples.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,SDN:Q01::Q0100014,Sampling device aperture length,"",The larger dimension of the sampling area of a device with a rectangular aperture (e.g. a grab); the type of device is specified elsewhere.,2,false,2016-05-24 12:20:10.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100001/,SDN:Q01::Q0100001,Sampling platform name,"","The name of the platform used to make the sampling, measurement or observation.",1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100016/,SDN:Q01::Q0100016,Sampling instrument efficiency,"",The efficiency of the sampling instrument in catching the targeted specimen.,1,false,2016-05-23 15:54:58.0
http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,SDN:Q01::Q0100012,Sampling device aperture diameter,"",The diameter of the sampling area of a device with a circular aperture (e.g. a corer or a net); the type of device is specified elsewhere.,1,false,2016-05-23 15:54:58.0

