Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/L05/current/312/,SDN:L05::312,bathymetric LiDARs,"",Instruments that measure the depth of a water body by determining the distances from the platform to the surface and the bed by timing reflected pulses of laser light.,1,false,2009-10-16 11:58:26.0
http://vocab.nerc.ac.uk/collection/L05/current/156/,SDN:L05::156,single-beam echosounders,"",Instruments that measure water depth at a single point below the platform by timing pulses of sound reflected on the seafloor.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/157/,SDN:L05::157,multi-beam echosounders,"",Instruments that measure water depth along several tracks parallel to the platform track by timing pulses of sound reflected on the seafloor.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/350/,SDN:L05::350,salinity sensor,"",Instrument that simultaneously measures electrical conductivity and temperature in the water column to provide temperature and salinity data.,3,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/134/,SDN:L05::134,water temperature sensor,"",An instrument that measures the temperature of the water with which it is in contact.,3,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/WPS/,SDN:L05::WPS,water pressure sensors,"","Sensors measuring hydrostatic pressure that are capable of withstanding the physical demands made by in-situ measurements in water bodies. Depending upon the mode of deployment they may measure sea level, waves, mooring performance or the depth of a profiling instrument.",1,false,2015-02-11 09:24:01.0
http://vocab.nerc.ac.uk/collection/L05/current/130/,SDN:L05::130,CTD,"",A reusable instrument that always simultaneously measures conductivity and temperature (for salinity) and pressure (for depth).,3,false,2018-04-06 17:31:36.0
http://vocab.nerc.ac.uk/collection/L05/current/379/,SDN:L05::379,altimeters,"",Instruments that measure their distance above a specified elevation such as the sea surface or the seabed. Classification includes acoustic and pressure-based instruments that are designed to provide platform z co-ordinate spatial coverage in the atmosphere or a water body. It excludes remote sensing instruments such as LIDAR and satellite radar altimeters designed to map surface elevation.,2,false,2012-12-18 15:18:17.0
http://vocab.nerc.ac.uk/collection/L05/current/23/,SDN:L05::23,pelagic trawl nets,"",A net towed through the water column designed to sample free-swimming nekton or fish.,1,false,2007-11-20 08:50:03.0
http://vocab.nerc.ac.uk/collection/L05/current/22/,SDN:L05::22,plankton nets,"","A fine-meshed net designed to collect small size organisms, aggregates, or litter in the water column including for example microzooplankton, mesozooplankton, nekton, microplastic or other litter.",2,false,2018-02-20 17:43:56.0
