lot	lot_id	year	month	day	hour	minute	time_period	record_subtype	tow	region	lat.ddmm.ss	long.ddmm.ss	northing	easting	tag_id	tag_colour	tag_active	tag_applied	tag_recapture	sex	length_type	total_length	tlength_type	tail_length	width_type	maximum_width	swidth_type	spiracle_width	clength_type	clasper_length	clasper_development	alar_spines	alar_development	alar_rows	malar_spines	malar_development	midline	pelvic_thorns	eyespots	eyespots_large	eyespots_small	eyespots_number	whip	empty_full	cloaca_extruded	weight_est	weight_note	unadj_weight_kg	weight_kg	unadj_weight_lb	weight_lb	finclip	species_confirmed	species_dfo	depth	bottom_temperature	bottom_salinity	tide_height	cloud_cover	weather	temperature	capture_details	health_on_capture	health_on_release	contact	collector	notes	error_check	error_note	capture_event	
0	2012B_DPW01	2012	5	29	NA	NA	NA	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	25.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.1	0.05	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	32.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	too small	1	-0.05	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	34.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	34.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	too small	1	-0.05	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	35.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.1	0.05	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	36.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	36.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	36.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	36.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.2	0.15	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	36.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.2	0.15	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	38.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.9	0.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	38.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	38.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.4	0.35	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.4	0.35	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
