"","long","depth","mag","stations","lat"
"1",165.67,75,4.4,30,-12.85
"2",165.76,63,4.5,51,-12.08
"3",165.77,93,4.6,20,-10.78
"4",165.8,112,4.2,20,-11.8
"5",165.8,175,4.2,12,-10.8
"6",165.96,45,4.4,51,-11.76
"7",165.96,50,6,83,-13.64
"8",165.97,76,4.9,64,-10.96
"9",165.98,51,4.7,28,-11.81
"10",165.99,195,4,14,-10.72
"11",166,48,5.3,16,-14.7
"12",166.01,69,4.8,29,-14.1
"13",166.02,102,4.6,21,-11.67
"14",166.06,142,5,40,-10.79
"15",166.07,69,4.2,14,-11.75
"16",166.07,93,5.6,94,-11.4
"17",166.1,82,4.8,43,-11.7
"18",166.1,195,4.9,45,-10.78
"19",166.14,109,4.6,36,-11.63
"20",166.18,89,5.4,80,-11.54
"21",166.2,67,4.8,18,-13.34
"22",166.2,94,5,31,-12
"23",166.2,96,4.3,14,-11.55
"24",166.22,84,4.6,32,-11.49
"25",166.24,83,5.3,55,-11.41
"26",166.24,103,4.6,30,-11.34
"27",166.26,180,4.7,26,-10.97
"28",166.28,70,4.8,47,-12.72
"29",166.29,59,4.9,27,-12.01
"30",166.3,139,4.2,15,-11.7
"31",166.32,70,4.4,18,-11.77
"32",166.32,211,4.2,12,-10.98
"33",166.36,74,4.9,55,-12.49
"34",166.36,130,5.1,55,-11.25
"35",166.37,165,4.3,18,-12.66
"36",166.47,130,4.7,19,-11.64
"37",166.49,83,4.5,25,-13.56
"38",166.53,42,5.5,70,-13.8
"39",166.53,44,4.7,27,-13.44
"40",166.54,50,5.1,45,-13.66
"41",166.55,188,4.7,24,-11.37
"42",166.56,68,4.7,41,-13.79
"43",166.6,219,5,28,-12.25
"44",166.62,42,4.7,23,-15.08
"45",166.64,63,5.3,69,-14.12
"46",166.66,71,4.9,52,-13.65
"47",166.66,99,4.8,36,-12.01
"48",166.69,150,4.2,20,-15.96
"49",166.72,137,4.3,20,-12.57
"50",166.74,50,4.7,30,-16.32
"51",166.75,46,5.3,71,-13.7
"52",166.78,150,4.9,35,-12.84
"53",166.8,98,4.5,21,-16.2
"54",166.83,45,4.6,39,-15.79
"55",166.85,85,4.5,22,-15.86
"56",166.87,132,4.4,24,-13.07
"57",166.9,100,4.2,15,-15.29
"58",166.9,228,4.8,15,-13.4
"59",166.91,58,4.8,20,-15.71
"60",166.93,291,4.2,16,-12.37
"61",166.94,50,4.6,24,-16.28
"62",166.97,82,4.8,28,-14.65
"63",166.98,60,4.8,25,-15.86
"64",167,249,4.6,16,-12.26
"65",167.01,62,4.9,36,-11.02
"66",167.01,64,5.5,73,-15.77
"67",167.01,213,5.1,70,-13.26
"68",167.02,242,6,132,-12.23
"69",167.03,264,4.4,14,-12.16
"70",167.05,133,4.5,32,-11.38
"71",167.06,236,4.7,22,-13.36
"72",167.06,248,4.7,35,-12.28
"73",167.06,265,4.5,23,-12.11
"74",167.1,43,4.5,19,-15.83
"75",167.1,128,5.3,18,-15.34
"76",167.1,220,5,46,-13.23
"77",167.1,325,4.9,26,-12.59
"78",167.11,231,4.8,28,-12.57
"79",167.14,226,4.4,26,-13.47
"80",167.15,209,4.7,30,-13.62
"81",167.16,41,4.8,42,-15.9
"82",167.16,202,4.6,30,-13.86
"83",167.18,140,4.6,44,-15.44
"84",167.18,221,4.2,21,-13.9
"85",167.23,71,5.2,59,-15.18
"86",167.24,97,4.5,26,-14.85
"87",167.24,130,4.6,16,-14.95
"88",167.24,162,4.5,18,-14.57
"89",167.24,278,4.3,17,-13.16
"90",167.25,68,4.7,36,-16.1
"91",167.26,151,4.4,17,-14.43
"92",167.26,195,5.2,87,-14.46
"93",167.26,211,5.1,51,-14.28
"94",167.32,123,4.8,28,-14.82
"95",167.32,136,4.6,20,-15.03
"96",167.32,137,4.9,22,-14.86
"97",167.32,208,4.8,25,-14.3
"98",167.33,204,5,49,-14.32
"99",167.34,47,5.4,87,-15.95
"100",167.38,137,4.5,16,-15.43
"101",167.39,332,5,36,-12.05
"102",167.4,178,4.8,52,-14.6
"103",167.41,50,4.5,29,-12.27
"104",167.42,40,5.5,86,-15.9
"105",167.43,50,5.1,47,-12.34
