"","eventDate","decimalLongitude","decimalLatitude","eventID"
"1",1,181.62,-20.42,"event-1-1"
"2",2,181.03,-20.62,"event-2-2"
"3",3,184.1,-26,"event-3-3"
"4",4,181.66,-17.97,"event-4-4"
"5",5,181.96,-20.42,"event-5-5"
"6",1,184.31,-19.68,"event-1-6"
"7",2,166.1,-11.7,"event-2-7"
"8",3,181.93,-28.11,"event-3-8"
"9",4,181.74,-28.74,"event-4-9"
"10",5,179.59,-17.47,"event-5-10"
"11",1,180.69,-21.44,"event-1-11"
"12",2,167,-12.26,"event-2-12"
"13",3,182.11,-18.54,"event-3-13"
"14",4,181.66,-21,"event-4-14"
"15",5,169.92,-20.7,"event-5-15"
"16",1,184.95,-15.94,"event-1-16"
"17",2,165.96,-13.64,"event-2-17"
"18",3,181.5,-17.83,"event-3-18"
"19",4,179.78,-23.5,"event-4-19"
"20",5,180.31,-22.63,"event-5-20"
"21",1,181.16,-20.84,"event-1-21"
"22",2,166.32,-10.98,"event-2-22"
"23",3,180.16,-23.3,"event-3-23"
"24",4,182,-30.2,"event-4-24"
"25",5,180.28,-19.66,"event-5-25"
"26",1,181.49,-17.94,"event-1-26"
"27",2,167.51,-14.72,"event-2-27"
"28",3,180.79,-16.46,"event-3-28"
"29",4,181.47,-20.97,"event-4-29"
"30",5,182.37,-19.84,"event-5-30"
"31",1,179.24,-22.58,"event-1-31"
"32",2,166.74,-16.32,"event-2-32"
"33",3,185.05,-15.55,"event-3-33"
"34",4,180.8,-23.55,"event-4-34"
"35",5,186,-16.3,"event-5-35"
"36",1,179.33,-25.82,"event-1-36"
"37",2,169.23,-18.73,"event-2-37"
"38",3,181.28,-17.64,"event-3-38"
"39",4,181.4,-17.66,"event-4-39"
"40",5,169.33,-18.82,"event-5-40"
"41",1,176.78,-37.37,"event-1-41"
"42",2,186.1,-15.31,"event-2-42"
"43",3,179.82,-24.97,"event-3-43"
"44",4,186.04,-15.49,"event-4-44"
"45",5,169.41,-19.23,"event-5-45"
"46",1,182.3,-30.1,"event-1-46"
"47",2,181.7,-26.4,"event-2-47"
"48",3,166.32,-11.77,"event-3-48"
"49",4,180.08,-24.12,"event-4-49"
"50",5,185.25,-18.97,"event-5-50"
"51",1,182.35,-18.75,"event-1-51"
"52",2,184.42,-19.26,"event-2-52"
"53",3,173.2,-22.75,"event-3-53"
"54",4,180.67,-21.37,"event-4-54"
"55",5,182.16,-20.1,"event-5-55"
"56",1,182.13,-19.85,"event-1-56"
"57",2,181,-22.7,"event-2-57"
"58",3,180.6,-22.06,"event-3-58"
"59",4,181.35,-17.8,"event-4-59"
"60",5,179.2,-24.2,"event-5-60"
"61",1,181.55,-20.69,"event-1-61"
"62",2,182.4,-21.16,"event-2-62"
"63",3,172.38,-13.82,"event-3-63"
"64",4,166.22,-11.49,"event-4-64"
"65",5,181.41,-20.68,"event-5-65"
"66",1,184.93,-17.1,"event-1-66"
"67",2,181.6,-20.14,"event-2-67"
"68",3,179.62,-21.96,"event-3-68"
"69",4,181.86,-20.42,"event-4-69"
"70",5,187.81,-15.46,"event-5-70"
"71",1,185.8,-15.31,"event-1-71"
"72",2,184.35,-19.86,"event-2-72"
"73",3,166.2,-11.55,"event-3-73"
"74",4,179.99,-23.74,"event-4-74"
"75",5,181.23,-17.7,"event-5-75"
"76",1,180.04,-23.54,"event-1-76"
"77",2,184.7,-19.21,"event-2-77"
"78",3,167.06,-12.11,"event-3-78"
"79",4,181.71,-21.81,"event-4-79"
"80",5,181.11,-28.98,"event-5-80"
"81",1,180.21,-34.02,"event-1-81"
"82",2,180.99,-23.84,"event-2-82"
"83",3,182.38,-19.57,"event-3-83"
"84",4,183.4,-20.12,"event-4-84"
"85",5,181.7,-17.7,"event-5-85"
"86",1,184.31,-19.66,"event-1-86"
"87",2,170.5,-21.5,"event-2-87"
"88",3,179.96,-23.64,"event-3-88"
"89",4,186.3,-15.43,"event-4-89"
"90",5,186.44,-15.41,"event-5-90"
"91",1,167.53,-15.48,"event-1-91"
"92",2,167.06,-13.36,"event-2-92"
"93",3,182.02,-20.64,"event-3-93"
"94",4,169.71,-19.72,"event-4-94"
"95",5,185.26,-15.44,"event-5-95"
"96",1,182.4,-19.73,"event-1-96"
"97",2,181.11,-27.24,"event-2-97"
"98",3,183.41,-18.16,"event-3-98"
"99",4,166.54,-13.66,"event-4-99"
"100",5,179.92,-24.57,"event-5-100"
"101",1,185.61,-16.98,"event-1-101"
"102",2,178.41,-26.2,"event-2-102"
"103",3,180.39,-21.88,"event-3-103"
"104",4,181.6,-33,"event-4-104"
"105",5,180.69,-21.33,"event-5-105"
"106",1,183.5,-19.44,"event-1-106"
"107",2,180.6,-34.89,"event-2-107"
"108",3,169.49,-20.24,"event-3-108"
"109",4,185.9,-22.55,"event-4-109"
"110",5,177.81,-36.95,"event-5-110"
"111",1,185.23,-15.75,"event-1-111"
"112",2,182.31,-16.85,"event-2-112"
"113",3,182.45,-19.06,"event-3-113"
"114",4,178.3,-26.11,"event-4-114"
"115",5,178.35,-26.2,"event-5-115"
"116",1,178.31,-26.13,"event-1-116"
"117",2,172.23,-13.66,"event-2-117"
"118",3,172.29,-13.47,"event-3-118"
"119",4,167.4,-14.6,"event-4-119"
"120",5,169.48,-18.96,"event-5-120"
"121",1,166.97,-14.65,"event-1-121"
"122",2,178.9,-19.9,"event-2-122"
"123",3,180.4,-22.05,"event-3-123"
"124",4,182.43,-19.22,"event-4-124"
"125",5,180.6,-31.24,"event-5-125"
"126",1,167.89,-17.93,"event-1-126"
"127",2,183.84,-19.3,"event-2-127"
"128",3,178.57,-26.53,"event-3-128"
"129",4,181.7,-27.72,"event-4-129"
"130",5,183.51,-19.19,"event-5-130"
"131",1,185.43,-17.43,"event-1-131"
"132",2,181.22,-17.05,"event-2-132"
"133",3,168.98,-19.52,"event-3-133"
"134",4,180.3,-23.71,"event-4-134"
"135",5,180.82,-21.3,"event-5-135"
"136",1,168.02,-16.24,"event-1-136"
"137",2,187.32,-16.14,"event-2-137"
"138",3,182.8,-23.95,"event-3-138"
"139",4,182.6,-25.2,"event-4-139"
"140",5,184.16,-18.84,"event-5-140"
"141",1,169.46,-12.66,"event-1-141"
"142",2,181.4,-20.65,"event-2-142"
"143",3,167.1,-13.23,"event-3-143"
"144",4,181.43,-29.91,"event-4-144"
"145",5,173.5,-14.31,"event-5-145"
"146",1,184.4,-20.1,"event-1-146"
"147",2,185.17,-17.8,"event-2-147"
"148",3,173.49,-21.27,"event-3-148"
"149",4,180.17,-23.58,"event-4-149"
"150",5,181.5,-17.9,"event-5-150"
"151",1,184.5,-23.34,"event-1-151"
"152",2,167.62,-15.56,"event-2-152"
"153",3,182.56,-23.83,"event-3-153"
"154",4,165.8,-11.8,"event-4-154"
"155",5,167.68,-15.54,"event-5-155"
"156",1,181.32,-20.65,"event-1-156"
"157",2,166.07,-11.75,"event-2-157"
"158",3,180,-24.81,"event-3-158"
"159",4,169.84,-20.9,"event-4-159"
"160",5,166.24,-11.34,"event-5-160"
"161",1,180.5,-17.98,"event-1-161"
"162",2,179.52,-24.34,"event-2-162"
"163",3,167.16,-13.86,"event-3-163"
"164",4,180.2,-35.56,"event-4-164"
"165",5,179.9,-35.48,"event-5-165"
"166",1,179.43,-34.2,"event-1-166"
"167",2,182.12,-26,"event-2-167"
"168",3,183.84,-19.89,"event-3-168"
"169",4,180,-23.43,"event-4-169"
"170",5,169.42,-18.89,"event-5-170"
"171",1,181.83,-17.82,"event-1-171"
"172",2,180.34,-25.68,"event-2-172"
"173",3,180.9,-20.2,"event-3-173"
"174",4,184.68,-15.2,"event-4-174"
"175",5,182.29,-15.03,"event-5-175"
"176",1,180.2,-32.22,"event-1-176"
"177",2,180.64,-22.64,"event-2-177"
"178",3,185.16,-17.42,"event-3-178"
"179",4,181.48,-17.84,"event-4-179"
"180",5,184.24,-15.02,"event-5-180"
"181",1,181.75,-18.04,"event-1-181"
"182",2,183.5,-24.6,"event-2-182"
"183",3,184.3,-19.88,"event-3-183"
"184",4,183,-20.3,"event-4-184"
"185",5,181.85,-20.45,"event-5-185"
"186",1,187.09,-17.67,"event-1-186"
"187",2,181.9,-22.3,"event-2-187"
"188",3,181.85,-19.85,"event-3-188"
"189",4,179.88,-24.27,"event-4-189"
