"","eventID","scientificName","occurrenceID","occurrenceStatus","basisOfRecord"
"1","event-1-1",4.8,"event-1-1-O-1","present","HumanObservation"
"2","event-2-2",4.2,"event-2-2-O-2","present","HumanObservation"
"3","event-3-3",5.4,"event-3-3-O-3","present","HumanObservation"
"4","event-4-4",4.1,"event-4-4-O-4","present","HumanObservation"
"5","event-5-5",4,"event-5-5-O-5","present","HumanObservation"
"6","event-1-6",4,"event-1-6-O-6","present","HumanObservation"
"7","event-2-7",4.8,"event-2-7-O-7","present","HumanObservation"
"8","event-3-8",4.4,"event-3-8-O-8","present","HumanObservation"
"9","event-4-9",4.7,"event-4-9-O-9","present","HumanObservation"
"10","event-5-10",4.3,"event-5-10-O-10","present","HumanObservation"
"11","event-1-11",4.4,"event-1-11-O-11","present","HumanObservation"
"12","event-2-12",4.6,"event-2-12-O-12","present","HumanObservation"
"13","event-3-13",4.4,"event-3-13-O-13","present","HumanObservation"
"14","event-4-14",4.4,"event-4-14-O-14","present","HumanObservation"
"15","event-5-15",6.1,"event-5-15-O-15","present","HumanObservation"
"16","event-1-16",4.3,"event-1-16-O-16","present","HumanObservation"
"17","event-2-17",6,"event-2-17-O-17","present","HumanObservation"
"18","event-3-18",4.5,"event-3-18-O-18","present","HumanObservation"
"19","event-4-19",4.4,"event-4-19-O-19","present","HumanObservation"
"20","event-5-20",4.4,"event-5-20-O-20","present","HumanObservation"
"21","event-1-21",4.5,"event-1-21-O-21","present","HumanObservation"
"22","event-2-22",4.2,"event-2-22-O-22","present","HumanObservation"
"23","event-3-23",4.4,"event-3-23-O-23","present","HumanObservation"
"24","event-4-24",4.7,"event-4-24-O-24","present","HumanObservation"
"25","event-5-25",5.4,"event-5-25-O-25","present","HumanObservation"
"26","event-1-26",4,"event-1-26-O-26","present","HumanObservation"
"27","event-2-27",4.6,"event-2-27-O-27","present","HumanObservation"
"28","event-3-28",5.2,"event-3-28-O-28","present","HumanObservation"
"29","event-4-29",4.5,"event-4-29-O-29","present","HumanObservation"
"30","event-5-30",4.4,"event-5-30-O-30","present","HumanObservation"
